Question,Intent
푸드코트 가려면 어디로 가요,위치
저기 대구은행은 어디로 가,위치
그 호흡기내과는 어디있지,위치
저기 뭐냐 감염내과는 어떻게 가면 되요,위치
그 뭐냐 고객지원팀은 어디로 가요,위치
어 소화기내과는 어디있더라,위치
음 내시경실 가는 방법좀 알려줘,위치
진단검사의학과 가는 길좀 알려줘유,위치
병리과는 어디있어유,위치
저쪽에 뭐냐 정신건강의학과에 어떻게 가지,위치
그 저기 임상심리실 가는 길좀 알려줘,위치
재활치료실은 어디여,위치
완화의료센터는 어딤,위치
치과는 어디유,위치
건강증진센터 위치는 어디여,위치
세미나실 건물은 어딩,위치
직원힐링센터 있는 건물은 어디야,위치
간호부가 있는 건물은 어딩,위치
50병동 있는 위치가 어딤,위치
혹시 치과 위치 어니,위치
혹시 안과 어딨는지 아세요,위치
혹시 이비인후과 가는 길 아세요,위치
혹시 병리과 어디있는지 아니,위치
소화기내과는 어디로 갑니까,위치
내시경실은 어떤 길로 가,위치
진단검사의학과는 어디로 가야해,위치
병리과는 어디에 있어,위치
정신건강의학과는 어디 있어,위치
임상심리실은 어느 곳에 있어요,위치
의료정보실은 어느 곳에 있지,위치
재활치료실은 어떻게 가냐,위치
완화의료센터는 어떻게 가유,위치
간호간병통합서비스병동은 어디로 가냐,위치
50병동은 어디로 가야 돼,위치
60병동은 어디로 감,위치
70병동으로 가는 길좀 알려주세요,위치
80병동은 어디로 가야 하지,위치
간호부는 어느쪽에 있어,위치
건강증진센터는 어떻게 가니,위치
종합건강검진센터는 어디로 가니,위치
직원힐링센터는 어떻게 가지,위치
세미나실에 가고싶어,위치
오늘 코로나 확진자 수좀 알려줘,확진자
금일 코로나 확진자 수좀 알려줘,확진자
신규 코로나 확진자 수좀 알려줘,확진자
오늘 전체 코로나 확진자 몇명이야,확진자
오늘 코로나 확진자 몇명이야,확진자
금일 코로나 확진자 몇명이에요,확진자
오늘 전국 코로나 확진자 몇명인가요,확진자
오늘 전국에 코로나 확진자 몇명이에요,확진자
금일 전국 코로나 확진자 수는 몇명인가요,확진자
대한민국 전체 코로나 확진자 몇명이에요,확진자
우리나라 총 코로나 확진자는 얼마나 되요,확진자
누적 코로나 확진자 수좀 알려주세요,확진자
전체 코로나 확진자 몇명 정도 되요,확진자
한국 전체 코로나 확진자 수는 몇명인가요,확진자
전체 코로나 확진자 수가 지금 어떻게 되나요,확진자
누적 코로나 확진자 수 지금 몇명이에요,확진자
지금 전체 코로나 확진자 수 몇명이야,확진자
총 누적 코로나 확진자 수좀 알려줘,확진자
코로나 누적 확진자 몇명이야,확진자
코로나 전체 확진자 지금 몇명인가요,확진자
오늘 서울에 코로나 확진자 수는 몇명이야,확진자
오늘 부산에 확진자 수 몇명이야,확진자
인천에 오늘 코로나 확진자 수 몇명이야,확진자
오늘 대구에 확진자 몇명이야,확진자
울산에 오늘 확진자 몇명이야,확진자
대전 코로나 확진자 수좀 알려주세요,확진자
광주에 오늘 신규 코로나 확진자 수 몇명이에요,확진자
경기 지역 새로 걸린 코로나 환자 수 몇명이에요,확진자
강원도 새로 걸린 확진자 수 몇명이에요,확진자
경기도 오늘 확진자 수 몇명이에요,확진자
강원 지역 금일 코로나 몇명 걸렸어요,확진자
충북에 오늘 코로나 걸린 사람 몇명이에요,확진자
충남에 코로나 몇명 걸린지 알고 싶어요,확진자
오늘 경북 코로나 확진자 몇명이에요,확진자
오늘 경남에 확진자 몇명이에요,확진자
전북 코로나 확진자 수 알려주세요,확진자
전남 오늘 코로나 몇명 걸렸어요,확진자
제주도에 코로나 오늘 얼마나 걸렸어요,확진자
서울에 코로나 오늘 몇명 걸렸나요,확진자
오늘 부산 코로나 신규 확진자 몇명이에요,확진자
오늘 인천에 코로나 걸린 사람 몇명이에요,확진자
오늘 대구 코로나 확진자 몇명이에요,확진자
울산에 오늘 코로나 몇명 걸렸어요,확진자
대전에 코로나 오늘 몇명 걸렸나요,확진자
금일 광주 코로나 확진자 숫자좀 알려줘,확진자
경기도 오늘 확진자 몇명 나왔어요,확진자
강원도에 오늘 확진자 얼마나 나왔어요,확진자
충청북도에 오늘 확진자 수좀 알려줄수 있나요,확진자
경상북도 금일 확진자 수좀 알려주세요,확진자
경상남도 오늘 발생된 확진자 수는 몇명이에요,확진자
충청남도에 오늘 코로나 걸린 사람 몇명이에요,확진자
전라북도 금일 코로나 몇명 걸렸어요,확진자
제주도 오늘 코로나 몇명 걸렸어,확진자
충북 지역 오늘 신규 확진자 몇명이야,확진자
충남에 오늘 코로나 얼마나 걸렸나요,확진자
오늘 경북 확진자 수좀 알려줘,확진자
금일 경남 확진자 수좀 알려주세요,확진자
서울 누적 코로나 확진자 수는 몇명이야,확진자
인천지역 전체 코로나 확진자 수 몇명이야,확진자
대구에 코로나 전체 확진자 몇명이야,확진자
대전에 누적 코로나 확진자 수좀 알려주세요,확진자
광주에 누적 코로나 확진자 수는 몇명인가요,확진자
강원도 누적 확진자 수 몇명이에요,확진자
경기도 전체 코로나 확진자 수 몇명이에요,확진자
경북 누적 코로나 확진자 몇명이에요,확진자
어 경남에 누적 확진자 몇명이에요,확진자
전북 지역 전체 코로나 확진자 수 알려주세요,확진자
제주도에 전체 코로나 걸린사람 얼마나 되요,확진자
서울에 코로나 전체 몇명 걸렸나요,확진자
오늘 부산 코로나 누적 확진자 몇명이에요,확진자
인천에 코로나 걸린 사람 전체 몇명이에요,확진자
대구 코로나 확진자 전체 몇명이에요,확진자
울산에 코로나 누적 몇명 걸렸어요,확진자
대전에 코로나 전체 몇명 걸렸나요,확진자
광주 코로나 누적 확진자 숫자좀 알려줘,확진자
강원도에 누적 확진자 얼마나 나왔어요,확진자
충청북도에 전체 확진자 수좀 알려줄수 있나요,확진자
경상북도 총 확진자 수좀 알려주세요,확진자
경상남도 발생된 확진자 수는 총 몇명이에요,확진자
충청남도에 코로나 걸린 사람 총 몇명이에요,확진자
전라북도 코로나 누적 몇명 걸렸어요,확진자
제주도 코로나 전체 몇명 걸렸어,확진자
충북 지역 누적 확진자 몇명이야,확진자
충남에 코로나 총 얼마나 걸렸나요,확진자
경북 확진자 전체 수좀 알려줘,확진자
경남 확진자 누적 수좀 알려주세요,확진자
이주령 선생님 진료 일정좀 알려줘,일정
주철효 과장님 진료 일정이 언제야,일정
정해진 쌤 화요일 진료해,일정
이상엽 선생 목요일 오후에 진료 하시나요,일정
강재명 과장님 오늘 계시나요,일정
고무성 선생님 진료 언제 언제 해요,일정
그 혹시 오동호 선생님 내일 진료 하시나요,일정
최정란 과장님 전체 일정좀 알려줄 수 있어,일정
이찬우 쌤 진료 일정좀 알고싶은데,일정
여기 노선주 과장님 금요일 진료 하는지 알고싶어,일정
송선희 선생님 토요일에 계시나,일정
음 박미경 과장님 월요일 진료일정을 가르쳐 주세요,일정
백성욱님 진료 안하는 날좀 알려줘,일정
김미진 선생님 진료 안하는 요일이 언제야,일정
혹시 신대열 과장님 진료 일정좀 알려줄 수 있니,일정
강유진 선생님 어제 근무 하셨니,일정
김도균 과장님 근무 일정좀 알려줘,일정
혹시 주태림 선생님 근무 언제 하시는지 알려줄 수 있나,일정
이경술 과장님 화요일 근무 하는지 안하는지 알려줘,일정
이지원쌤 수요일에 계시니,일정
김용국 선생님 수요일에 출근 하시니,일정
최병규 과장님 수요일에 출근 하는지 아닌지 알려줘,일정
이영록 선생님 목 금요일 근무 일정좀 알려주세요,일정
이기혁 쌤 근무 일정이 궁금해요,일정
성영호 과장님 일정좀 알려주세요,일정
기성호 선생님 근무 시간표좀 알려주세요,일정
혹시 천종운 과장님 오전에 계시나요,일정
저 혹시 김찬욱 선생님 내일 오후에 계시나요,일정
음 하정수 선생님 모레 오후에 진료 하시나요,일정
유승연 선생님 내일 진료하시나요,일정
김태오 과장님 모레 진료 일정좀 가르쳐줘요,일정
신경과 박수현 과장님 전체 일정을 가르쳐주세요,일정
차민주 선생님 금요일에 계시죠,일정
차기철쌤 내일 오전 진료 하시나요,일정
김효창 의사분 내일 계시죠,일정
신경외과 강연구 선생님 금요일에 계시죠,일정
그 치관지 신경외관지 모르겠는데 노병일 과장님 화요일날 근무하십니까,일정
구원모쌤 내일 오시죠,일정
그 과는 모르겠는데 김영민 선생님인가 지금 계시나요,일정
오늘 이수경 의사 선생님 출근 하셨나요,일정
서민영 선생님 진료 일정좀 쭉 말해줘,일정
심병주 선생님 내일 계시죠,일정
오늘 박미경 선생님 계시나요,일정
심장내과 김정호쌤 진료 일정좀 알려주세요,일정
현효진 과장님 월요일 근무 하십니까,일정
오지혜 선생님 전체 진료 일정좀 알려주라,일정
유윤정 과장님 내일 근무 있으시죠,일정
이채경 선생님 평일 일정좀 알려줘,일정
이종구 선생님 평일 근무 일정좀 알려주세요,일정
구관민 과장님 평일 근무 시간좀 알려주실 수 있나요,일정
정인희 선생님 어제 일정좀 알려줄래,일정
윤희자 쌤 지금 근무시간인가,일정
김병욱 과장님 진료 시간좀 알려줘라,일정
하동엽쌤 진료 시간 쭉 말해줘,일정
외과 서수한쌤 계시죠,일정
손동녕 의사선생님 진료 일정을 말해주세요,일정
이효준 의사선생님 진료 시간을 말해주세요,일정
안희철 과장님 화요일 진료 일정 알려주세요,일정
강민수 선생님 진료 언제하는지 알려주세요,일정
조광윤 선생님 진료 일정을 가르쳐주세요,일정
백기봉 의사선생님 일별 진료 시간좀 알려줄래,일정
최기훈 과장님 다음주 일정좀 알려줘,일정
김영욱 선생님 근무 시간표좀 전체적으로 알려주세요 ,일정
윤정훈 과장님 내일 오전에 진료 하시나요,일정
안길영 의사님 일정 알려주세요,일정
정형외과 남일현 과장님 근무 시간표를 알려주세요,일정
이영현 선생님 일정좀 알려줘,일정
이태훈쌤 진료 시간표 싹 말해줘,일정
이용식 선생님 진료 시간좀 알려 주실 수 있나요,일정
김중구 의사선생님 진료 시간좀 쫙 말해주세요,일정
남복동 의사선생님 일주일 근무표 알려주세요,일정
신충곤 과장님 일주일 근무시간표 알려줘,일정
전현준 선생님 다음주 근무표좀 알려주라,일정
양선문 쌤 내일 근무 하시니,일정
치과가려는데 양성일 선생님 내일 계시나요,일정
최영수 과장님 다음주 근무 시간표좀 알려주세요,일정
장희숙 선생님 근무표좀 가르쳐줘,일정
윤준혁 선생님 다음주 근무 시간표좀 알려주세요,일정
저기 혹시 김성자 의사선생님 근무 일정좀 알려줘요,일정
오미나 선생님 근무시간표 말해주세요,일정
박기훈 의사 선생님 이번주 근무시간 알려주세요,일정
코로나 최초 발생은 어디서 했나요,정보
코로나 근원지 자세하게 가르쳐주세요,정보
코로나 원천이 어디야,정보
코로나 근원지좀 가르쳐 주세요,정보
코로나 처음에 어디서 발생됬나요,정보
처음에 코로나가 발생된 곳이 어딘가요,정보
최초 코로나 발생지가 어디에요,정보
코로나가 처음 생긴곳이 어디죠,정보
코로나 처음에 어디서 발생했어,정보
저기 혹시 코로나 근원지좀 알려줄래,정보
그 코로나 최초 발생한 곳,정보
코로나 최초 발생,정보
코로나 처음 발생,정보
코로나 근원,정보
코로나 언제 발생했지,정보
언제 코로나 발병했죠,정보
몇년도에 코로나 발병했지,정보
코로나 처음 발병한 곳이 어디지,정보
처음 코로나 발병한 지역이 어디야,정보
몇년 몇월에 코로나 발병했지,정보
몇년도에 우한에서 코로나 생겼더라,정보
우한에서 코로나 몇년도에 생겼지,정보
코로나 전염 경로는 어떻게 돼,정보
코로나는 어떻게 걸려,정보
코로나 어디로 옮아,정보
코로나 전파는 어떻게 되나요,정보
코로나 전파경로 알려주세요,정보
코로나 감염은 어떻게 되나요,정보
전파는 어떻게 되요,정보
전파 경로좀 가르쳐주세요,정보
혹시 코로나 전파경로도 알려주시나요,정보
코로나는 어디로 걸려,정보
코로나 전파는 어디로 돼요,정보
코로나 전파는 어디로 돼,정보
코로나 뭐 때문에 걸리는 거야,정보
코로나 어디로 걸리는 거에요,정보
코로나 어디서 걸리는 거에요,정보
코로나 뭐 때문에 걸리는 거에요,정보
코로나 접촉 때문에 걸려,정보
코로나 접촉 때문에 걸리는 거에요,정보
코로나 비말을 통해서 감염 되나요,정보
코로나 어디를 통해 감염 되나요,정보
코로나 어디를 통해 전파되나요,정보
코로나 감염은 어떻게 되는 건가요,정보
코로나 감염은 어떻게 돼,정보
코로나는 어떻게 전파가 돼,정보
코로나는 어떻게 걸리게 되는 거야,정보
어떻게 하면 코로나 걸려,정보
코로나 전파 경로,정보
음 코로나 전파,정보
코로나 감염 경로를 알려줘,정보
혹시 코로나 감염 되는 경로,정보
코로나 확진자랑 접촉하고 몇 일 동안 잠복기야,정보
코로나 확진자랑 접촉하면 잠복일 수가 몇 일이야,정보
코로나 확진자랑 접촉하면 잠복기가 어떻게 돼,정보
코로나 확진자랑 접촉하면 잠복일은 얼마나 걸려,정보
코로나 잠복기는 몇 일이야,정보
코로나 잠복기간은 얼마나 걸려,정보
코로나 접촉하고 잠복일은 어떻게 돼,정보
코로나 확진자랑 접촉하고 나면 잠복기간은 어떻게 돼,정보
코로나 잠복일은,정보
코로나 잠복기간은,정보
코로나 확진은 언제 돼,정보
코로나 자가 격리 기간은 어떻게 되나요,정보
코로나 확진 판정은 얼마나 걸리나요,정보
코로나는 언제 확진 되나요,정보
코로나 잠복기는 몇일정도 되나요,정보
코로나 걸리면 잠복일은 얼마나 되죠,정보
보통 코로나 잠복기간은 몇일쯤 되나요,정보
잠복 기간좀 가르쳐주세요,정보
잠복일은 몇 일 인가요,정보
코로나 걸리면 잠복기간이 몇일 쯤 되나요,정보
코로나 잠복기는,정보
혹시 코로나 잠복 기간이 얼마나 되나요,정보
저기 코로나 걸리면 얼마나 잠복 하나요,정보
코로나 증상좀 알려주세요,정보
코로나 감염되면 어떤 행동을 하나요,정보
코로나 감염 증상좀 가르쳐주세요,정보
코로나 걸리면 어떤 행동을 하나요,정보
코로나에 감염되면 어떤 증상을 보입니까,정보
코로나에 걸린 사람들의 증상이 어떻습니까,정보
코로나 걸린 사람 증상이 어때요,정보
감염된 사람들 행동을 알려주세요,정보
코로나 걸리면 증상이 어떻게 되요,정보
코로나 증상이 뭐에요,정보
코로나 걸리면 어떻게 되요,정보
코로나 걸리면 어디가 아파요,정보
코로나 걸리면 어디가 아픈가요,정보
코로나 걸리면 어떻게 아픈가요,정보
코로나 확진자가 되면 어디가 아픈가요,정보
코로나 확진자가 되면 어떻게 돼,정보
코로나 확진자 되면 어디가 아파,정보
코로나 확진자 증상이 어떻게 돼,정보
코로나 확진자는 어떻게 안 좋아,정보
코로나 확진자는 어디가 안 좋아,정보
코로나 확진자는 어디가 아프게 되나요,정보
코로나 확진자는 어디가 아픈가요,정보
코로나 증상은,정보
코로나 확진자 증상은,정보
코로나 확진자는 어디가 아파,정보
코로나 치명률은 몇 퍼센트 인가요,정보
코로나 걸리면 치명률은 얼마나 되죠,정보
감염되면 치사율은 몇 퍼 정도 되나요,정보
감염되면 죽을 확률은 얼마나 되죠,정보
코로나 걸리면 치사율은 어느정도 되나요,정보
코로나 감염시 치사율 좀 가르쳐주세요,정보
코로나 확진자 사망률이 얼마야,정보
코로나 확진자 사망률이 어떻게 돼,정보
코로나 확진자 사망률 좀 가르쳐 줘,정보
코로나 확진자는 몇 명이 죽었어,정보
코로나 걸리면 몇 명이 죽게 돼,정보
코로나 걸린 사람들 중 몇 명이 죽었어,정보
전 세계에 코로나 몇 명이 죽었어,정보
코로나 사망률이 어떻게 돼,정보
코로나 확진자 치명률은,정보
코로나 확진자 치사율은,정보
코로나 확진자 사망률은,정보
코로나 치명률은,정보
코로나 치사율은,정보
코로나 사망률은,정보
